Region code,Region name ,Local authority code,Local authority name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E12000002,North West,E07000127,West Lancashire,17505,16921,16864,18216,18223,18656,18612,20501,21836,20914,22100,21742,22630,23890,23108,23585,23262,23029,26026,27804,27633,28266,28789,29652,27453,32110,35205,34260
E12000002,North West,E07000128,Wyre,14349,13973,15194,14230,16113,15696,17534,18329,18740,18626,18918,23322,21445,18476,19220,21129,20971,20886,22993,22985,22467,23686,25466,25981,24824,27007,29002,30528
E12000002,North West,E08000001,Bolton,15032,14990,15529,16319,16898,17029,17119,18424,19079,19567,20972,21091,21402,21736,22457,21693,22801,22083,23301,24643,24140,24787,25662,25756,26808,27489,29901,30505
E12000002,North West,E08000002,Bury,15079,16290,16301,16956,17554,19213,18937,18999,19086,20292,21774,24002,24418,24014,23701,23752,23676,24442,25015,25404,23964,26383,25412,26623,27578,28115,30332,35327
E12000002,North West,E08000003,Manchester,16952,17453,18440,19396,20168,20348,21750,23142,24581,24411,26354,26332,26563,26542,26261,27113,27894,28283,27418,28547,29947,29997,30801,31427,31435,34233,37225,37164
E12000002,North West,E08000004,Oldham,14672,14797,15274,16396,16397,17181,17164,18723,18594,19729,18643,20001,20841,22132,22033,20933,20798,21937,22694,22992,22708,25422,25168,27626,27556,28442,29928,33382
E12000002,North West,E08000005,Rochdale,15544,15705,15916,17076,17904,17563,18167,19134,19567,19649,19940,20379,21108,20736,21581,21847,22629,21580,22222,22880,22655,23528,25100,25984,26481,27704,31016,31233
E12000002,North West,E08000006,Salford,16827,17490,17684,18001,18980,20877,20271,21338,21182,22882,22398,22906,23589,23710,25431,26180,26801,26564,27148,26815,28028,27932,28947,32568,29219,32356,34148,37511
E12000002,North West,E08000007,Stockport,16545,17354,17248,18295,19584,20332,20409,22013,22392,22793,24846,24599,26261,25038,26709,27222,27854,25630,26198,27036,27150,27525,29062,29113,27348,30153,32572,33791
E12000002,North West,E08000008,Tameside,14453,14829,15337,15963,16793,17690,17694,18128,19491,19243,20626,21504,22403,20978,21142,23058,21458,21438,21735,22924,24316,23058,23569,23964,25857,25742,27915,32741
E12000002,North West,E08000009,Trafford,16952,18366,18834,19502,21411,21030,22227,22970,23740,24061,25200,26229,27091,26092,26990,27568,25940,26376,26474,26870,27632,27780,28742,29970,31572,32519,31292,34588
E12000002,North West,E08000010,Wigan,15898,15293,15682,17006,17827,17547,18898,19522,20436,20725,22650,22869,22479,23396,22118,21536,23321,22225,23655,24187,24209,25122,25010,26220,27681,28071,29994,30856
E12000002,North West,E08000011,Knowsley,17803,17605,17827,18208,18771,18036,19966,20043,21467,20838,23278,22731,24148,23914,23374,24519,26522,27047,23818,27198,28027,32344,28732,35926,28644,30203,32604,37656
E12000002,North West,E08000012,Liverpool,16196,17203,17324,18973,19071,19392,19953,21109,21725,22932,23506,24486,25252,25631,26041,26225,26833,27152,27550,27089,26783,27238,29596,31597,30574,32000,34469,36560
E12000002,North West,E08000013,St. Helens,15810,15752,16216,16922,17752,18442,19075,19111,20579,20875,20930,23116,23323,24669,22415,22410,23322,22701,22900,23990,23547,24904,27798,27114,32451,29145,30255,31651
E12000002,North West,E08000014,Sefton,14599,15032,15634,15783,16952,17366,18581,20065,21342,20172,21692,22832,21127,22366,21555,23366,23276,23368,23906,23994,24585,25626,26385,27181,29572,30618,33774,33064
E12000002,North West,E08000015,Wirral,15450,16013,16155,16614,18271,18485,17509,18807,20897,20689,20794,21266,21938,22153,21867,22416,23982,24971,26306,26320,26196,25725,26564,26438,26825,28282,29983,32298
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",15846,15945,16357,16881,17103,17999,18318,19063,21049,21494,22114,23061,22580,22928,23858,23366,23659,23693,24178,25553,24942,25942,27532,27986,28316,28742,30661,33024
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,16091,16431,16152,17977,18525,18995,19581,20508,21360,22956,24470,23840,24271,24678,23510,24063,24769,24389,24024,24583,25734,26329,27946,29407,28558,30124,31363,34282
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,15789,16780,17572,17216,17538,17907,19194,19196,20440,20146,20440,21429,23054,21911,22831,24946,24305,23257,24197,24792,22265,22652,25321,26213,26899,27777,32741,34509
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,16676,19034,18778,19497,19148,20970,22595,22929,24302,24364,22880,24655,24677,25862,25817,26313,27501,27896,27831,28433,27505,28846,28944,30567,29947,30446,32294,34480
E12000003,Yorkshire and The Humber,E06000014,York,15502,16832,17023,19349,19917,21048,21077,22442,23260,22822,24912,25128,25169,24346,24960,26277,27604,25880,25622,26113,26448,26506,29611,31096,32501,33077,34450,36830
E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,,,,,,,18628,19570,20422,20201,21594,22660,23801,23373,23478,23000,24020,24526,24429,24912,25286,26187,28086,27765,28240,29610,30105,32713
E12000003,Yorkshire and The Humber,E08000016,Barnsley,14818,14813,16159,15985,17611,17529,18969,19470,19728,20261,20798,21174,23146,23510,23465,23431,23556,23274,25864,25235,24899,25298,27734,26686,28621,27798,32069,34256
E12000003,Yorkshire and The Humber,E08000017,Doncaster,15397,15163,15400,16995,17268,17273,18790,19401,19702,21392,22410,23664,22669,23760,24248,24692,24088,24785,23352,24674,25066,26731,26576,27848,26937,28887,30589,32548
E12000003,Yorkshire and The Humber,E08000018,Rotherham,15810,17041,16376,17517,18110,18235,18267,19940,20914,19950,21655,22227,23717,24001,23783,23068,23774,24218,25585,25230,25554,25524,26301,27931,27925,28441,31135,30628
E12000003,Yorkshire and The Humber,E08000019,Sheffield,16008,16838,16344,17550,18372,19478,19811,20968,21722,22268,21935,23712,24143,23872,24186,24987,25688,25468,26147,26804,27185,27721,28312,29141,29607,30000,32372,36400
E12000003,Yorkshire and The Humber,E08000032,Bradford,15084,15951,16252,17221,17740,18951,18886,19498,19538,20027,21000,22283,23145,22798,22241,22813,23897,23530,23952,25262,25702,25915,26442,27914,28939,30879,31558,32532
E12000003,Yorkshire and The Humber,E08000033,Calderdale,15601,16222,16733,17213,18726,18416,20109,22232,23613,21669,21903,23145,24427,23511,24760,23211,23708,24905,24733,26284,26869,27695,27230,27532,27548,29958,31598,36647
E12000003,Yorkshire and The Humber,E08000034,Kirklees,15924,16493,16546,17018,18008,18196,18836,18989,20368,21314,21588,21308,21764,23150,22626,23254,23318,23353,22950,24619,24790,26040,26526,27471,26620,30115,30057,32357
E12000003,Yorkshire and The Humber,E08000035,Leeds,15439,16180,16889,18172,18728,19182,20738,21349,22599,22957,23252,24159,25741,25253,25222,25337,26496,26381,27089,28165,28317,28045,29337,30339,30583,32690,34622,36638
E12000003,Yorkshire and The Humber,E08000036,Wakefield,16519,17187,16969,18203,18725,19252,20295,20472,21554,22208,23007,24969,23954,23546,24124,25091,24518,24480,24279,24701,25056,27096,27694,27935,28265,29586,32762,33995
E12000004,East Midlands,E06000015,Derby,17036,19290,19762,19785,22092,22630,24852,25764,27252,27417,22786,28443,31870,32311,31417,32918,33502,34526,33910,32177,32347,36173,39141,40431,36330,36023,39915,39748
E12000004,East Midlands,E06000016,Leicester,15288,16044,16084,16899,17548,18541,19175,19435,21361,21112,22533,23341,23968,24995,24286,24594,25323,25399,24767,25368,25188,25223,25937,28507,27488,29242,31387,31965
E12000004,East Midlands,E06000017,Rutland,14135,14223,14925,17284,16447,16161,19711,20020,19940,21257,23692,22577,25832,23741,22450,22108,22569,23403,22634,25013,25732,26377,30240,30314,29841,33117,35348,35458
E12000004,East Midlands,E06000018,Nottingham,15815,16003,16172,17907,18700,19429,19518,21585,22471,22636,22888,23013,25076,24501,24690,25184,25217,24978,25975,26086,26099,26298,28508,28385,27979,29156,30179,33080
E12000004,East Midlands,E06000061,North Northamptonshire,,,,,,,19429,19806,19822,20369,21852,21633,22454,22203,23094,23743,23090,23769,24191,24883,26110,26968,27374,29303,28501,31564,30856,34598
E12000004,East Midlands,E06000062,West Northamptonshire,,,,,,,21122,22080,22231,23424,23918,24872,24570,24541,25667,25761,27117,25647,25017,25472,26699,27462,29880,29763,28794,31782,34005,37310
E12000004,East Midlands,E07000032,Amber Valley,15121,15434,15581,15657,17123,17296,17523,20006,21303,21367,22423,25408,24836,23406,24058,26552,25000,25001,26384,27725,29680,28973,29430,29375,31022,29266,33092,33852
E12000004,East Midlands,E07000033,Bolsover,14427,15111,15608,15886,17705,18020,19457,21948,20055,20788,23925,22609,22109,21586,21553,23194,22786,23456,22668,22714,22381,23783,23982,27655,25087,25806,30659,30637
E12000004,East Midlands,E07000034,Chesterfield,15450,15444,15353,16518,16481,17841,18603,18985,21618,21647,21834,21502,24101,25790,27396,25863,24502,25149,25245,25220,25089,26073,26966,27521,27422,28735,29267,34799
E12000004,East Midlands,E07000035,Derbyshire Dales,15789,15105,16517,18243,19322,18675,20820,19799,20714,21896,22353,23602,22517,23918,23873,24615,24377,25509,24699,26135,26738,27130,27749,25940,27761,31457,30181,34265
E12000004,East Midlands,E07000036,Erewash,15084,15648,15934,16356,16709,17593,19147,21396,19916,19287,20343,20857,21507,21478,20349,23054,24498,23407,23050,26166,26347,26275,25874,27342,29420,31382,33724,36470
E12000004,East Midlands,E07000037,High Peak,15095,15904,16426,17362,18977,19379,18014,20010,21037,21967,21037,22953,25448,25463,23118,23746,24975,21457,23147,23902,24740,23843,25609,26750,26473,28898,29339,31867
E12000004,East Midlands,E07000038,North East Derbyshire,15079,15768,16135,16343,18217,18314,20772,19490,20649,23378,24578,25005,24239,23449,24262,22767,22904,21751,20718,22268,23951,28099,25811,26676,26829,29773,28824,33062
E12000004,East Midlands,E07000039,South Derbyshire,17542,17005,17067,14348,15189,19885,18677,21249,23164,24425,26423,26649,24824,21453,24365,23983,24909,26170,26140,24322,26190,28726,29886,29507,29962,32235,33848,36580
E12000004,East Midlands,E07000129,Blaby,18325,18392,15849,19186,19623,20341,21014,23285,23493,23392,24156,25588,27160,26609,26633,24548,23529,25286,25243,25804,26640,27861,27067,31200,30362,35969,34038,37024
E12000004,East Midlands,E07000130,Charnwood,16952,17495,17165,18290,19916,21104,21306,21958,22857,23953,24006,25337,26429,26048,26336,25905,26398,26710,26077,27952,27395,29156,28888,29278,29512,32873,33192,34130
E12000004,East Midlands,E07000131,Harborough,15497,16258,17703,16884,17976,19448,18614,20080,21943,21252,22488,24223,25598,25824,24513,23677,25253,26741,25828,26665,26912,26640,26840,29997,29833,29515,31323,32863
E12000004,East Midlands,E07000132,Hinckley and Bosworth,15189,16091,14977,15878,17530,19374,19419,20181,21609,21661,22753,24057,23947,24124,23400,25390,26560,26038,24985,24374,25842,27891,28074,28433,27445,29203,32765,32504
E12000004,East Midlands,E07000133,Melton,18079,16879,15240,18416,18856,17432,19258,21181,19806,22065,20740,23123,21636,21740,21892,23097,22547,20944,23057,24522,25236,24546,25593,24793,21374,32052,29068,31229
E12000004,East Midlands,E07000134,North West Leicestershire,16514,17834,18086,17863,18082,18278,18554,20773,19915,21672,21791,24977,23967,23555,24576,25366,25148,24189,24420,25991,25745,26617,28876,28996,29995,32674,33507,33941
E12000004,East Midlands,E07000135,Oadby and Wigston,15403,15408,16097,16053,15794,18065,19466,20959,21169,22474,20522,20120,20724,20637,19929,21356,21693,21889,22254,22991,23874,24805,24127,24412,24198,25129,26585,28767
E12000004,East Midlands,E07000136,Boston,14422,15695,15734,17500,16197,17020,17488,16777,18397,18470,19325,19799,21036,20671,21376,21430,21468,21538,20770,22353,20577,22391,24323,24364,24224,25640,28647,31589
E12000004,East Midlands,E07000137,East Lindsey,13404,14370,14496,15078,15802,16138,16069,16822,17094,17548,17661,19672,21419,20513,20532,21216,23102,23603,23928,25036,24782,25465,25885,26744,25868,27745,29939,30998
E12000004,East Midlands,E07000138,Lincoln,15935,15784,16887,18400,18567,19982,19656,19932,20099,21419,20539,21280,23229,23809,23939,24177,24292,25477,23572,25063,25905,27161,26246,28786,28493,30453,32994,34488
E12000004,East Midlands,E07000139,North Kesteven,15079,15825,14697,15686,15827,16052,15513,18064,17580,18231,20659,19545,20005,21852,20109,21427,21849,23464,22774,23229,24544,25718,26865,29328,27795,30131,32292,34750
E12000004,East Midlands,E07000140,South Holland,14203,15215,15597,16342,17131,18595,19011,18299,19012,19717,20089,21755,21331,23322,21963,21901,22837,22025,22319,23007,23963,23545,25094,26340,25464,27854,29987,31298
E12000004,East Midlands,E07000141,South Kesteven,15246,15173,15299,16166,16711,17491,17200,18409,17792,19091,19952,21003,23339,22727,22137,22116,23260,21257,22634,22204,22251,23292,25107,27186,26777,29164,29765,32682
E12000004,East Midlands,E07000142,West Lindsey,12783,15053,14889,17218,15869,17720,18061,18934,20107,20692,18291,20427,21554,23302,22595,22895,23704,22989,23192,25963,27526,27470,27497,28815,30551,34608,31018,30929
E12000004,East Midlands,E07000170,Ashfield,14088,14114,15124,16202,17600,18091,18304,18703,20138,20855,20751,21637,22677,23836,22039,22418,21858,22754,22338,24748,24807,28202,25184,27486,27285,30925,29605,34192
E12000004,East Midlands,E07000171,Bassetlaw,16295,16478,15667,16489,17455,16563,19225,19863,19677,20185,20494,20810,23051,21813,22231,23343,23804,23239,22029,23286,24015,24572,24922,26435,26222,25787,27829,31339
E12000004,East Midlands,E07000172,Broxtowe,15752,16571,16981,17355,18645,18544,21554,21340,22888,23700,24331,24497,24199,22808,23143,22698,24076,25284,27534,27181,26883,25710,27362,25100,27201,28606,31295,30656
E12000004,East Midlands,E07000173,Gedling,17057,16331,16199,17658,17844,19781,19471,21131,23965,21746,26770,24595,25950,23774,19794,27070,29577,29868,23253,24479,30511,33065,28935,29176,26321,32689,33300,34749
E12000004,East Midlands,E07000174,Mansfield,13269,13613,12962,14066,15536,15503,16173,17513,17794,19837,20045,21610,21677,20916,20493,19682,20461,20781,20396,20529,21047,22918,23318,25540,25676,29041,30345,32614
E12000004,East Midlands,E07000175,Newark and Sherwood,14625,14834,13476,15067,16677,19306,18173,18535,18316,20830,20808,21919,21520,20437,21452,22038,23105,23102,22363,23643,23340,23169,23096,25391,27733,27092,31349,34432
E12000004,East Midlands,E07000176,Rushcliffe,16561,18179,19755,19523,19671,22437,23167,22850,25076,23271,23818,25669,25649,27619,25698,24639,27053,28763,27441,27538,26652,29997,30619,30376,30470,32892,31405,33003
E12000005,West Midlands,E06000019,"Herefordshire, County of",,14897,14702,14995,16502,17125,17410,18854,18992,19957,20457,21190,19930,19915,19578,20054,20791,20831,21022,22873,22985,23958,25308,27110,26779,27500,30228,32456
E12000005,West Midlands,E06000020,Telford and Wrekin,16029,16410,15276,17026,16930,18264,19363,20020,20067,20543,23293,23849,22713,22429,22476,24210,24853,24526,26743,26071,25522,26667,28772,30328,28863,31675,32204,35317
E12000005,West Midlands,E06000021,Stoke-on-Trent,13785,14724,15233,15693,16326,16341,17158,17340,18031,19370,20497,22297,22164,23121,22685,22984,23692,23011,23781,24482,24457,26177,26596,28178,28348,29489,31012,32860
E12000005,West Midlands,E06000051,Shropshire,,,,,,,18493,18895,19445,19754,20918,20759,20452,22151,22344,22124,23692,23220,23951,24829,24634,26516,27261,28659,27407,31118,31753,32944
E12000005,West Midlands,E07000192,Cannock Chase,15606,17072,17035,18450,17042,19029,18339,18935,19780,19926,20363,23642,21914,22491,22037,22273,24643,23296,23885,23953,25360,26002,25409,26197,28134,26971,29088,32424
E12000005,West Midlands,E07000193,East Staffordshire,16222,15324,15003,17956,18600,19590,19420,21814,20801,21211,21681,23236,22446,22679,24598,24843,26975,25785,26533,28356,26410,27467,28375,29367,28123,30140,32523,35980
E12000005,West Midlands,E07000194,Lichfield,16232,16457,17532,16915,17647,18107,19295,21446,21770,22048,19713,23067,24491,25290,24909,22592,25431,24085,26085,26971,26582,26133,27851,27329,26436,26374,32200,34939
